run_id,ablation_name,ablation_category,ablation_description,val_acc,val_auc,train_acc,hidden_dim,learning_rate,alpha,num_epochs,temperature,lambda_contrastive,lambda_identity,lambda_curl,lambda_div,num_flow_steps,checkpoint_path,run_dir,loss_log_path
baseline_full,baseline_full,baseline,Full model (all components),1.0,1.0,1.0,256,0.0001,0.1,50,0.1,0.7,0.3,0.01,0.01,10,eval/param_search/runs/baseline_full/fclf_last.pt,eval/param_search/runs/baseline_full,eval/param_search/runs/baseline_full/flow_losses.csv
baseline_minimal,baseline_minimal,baseline,Minimal: contrastive only,1.0,1.0,0.9999938301692385,256,0.0001,0.1,50,0.1,0.7,0.0,0.0,0.0,10,eval/param_search/runs/baseline_minimal/fclf_last.pt,eval/param_search/runs/baseline_minimal,eval/param_search/runs/baseline_minimal/flow_losses.csv
baseline_no_flow,baseline_no_flow,baseline,No flow (K=0),0.9164322029715188,0.9762691711485532,0.9189345936240969,256,0.0001,0.1,50,0.1,0.7,0.3,0.01,0.01,0,eval/param_search/runs/baseline_no_flow/fclf_last.pt,eval/param_search/runs/baseline_no_flow,eval/param_search/runs/baseline_no_flow/flow_losses.csv
no_contrastive,no_contrastive,loss_components,Without contrastive loss,0.9169258107507774,0.9764978247898952,0.9196441241616743,256,0.0001,0.1,50,0.1,0.0,0.3,0.01,0.01,10,eval/param_search/runs/no_contrastive/fclf_last.pt,eval/param_search/runs/no_contrastive,eval/param_search/runs/no_contrastive/flow_losses.csv
no_identity,no_identity,loss_components,Without identity loss,1.0,1.0,1.0,256,0.0001,0.1,50,0.1,0.7,0.0,0.01,0.01,10,eval/param_search/runs/no_identity/fclf_last.pt,eval/param_search/runs/no_identity,eval/param_search/runs/no_identity/flow_losses.csv
no_curl,no_curl,loss_components,Without curl regularization,1.0,1.0,1.0,256,0.0001,0.1,50,0.1,0.7,0.3,0.0,0.01,10,eval/param_search/runs/no_curl/fclf_last.pt,eval/param_search/runs/no_curl,eval/param_search/runs/no_curl/flow_losses.csv
no_div,no_div,loss_components,Without divergence regularization,1.0,1.0,1.0,256,0.0001,0.1,50,0.1,0.7,0.3,0.01,0.0,10,eval/param_search/runs/no_div/fclf_last.pt,eval/param_search/runs/no_div,eval/param_search/runs/no_div/flow_losses.csv
no_vf_reg,no_vf_reg,loss_components,Without any VF regularization,1.0,1.0,1.0,256,0.0001,0.1,50,0.1,0.7,0.3,0.0,0.0,10,eval/param_search/runs/no_vf_reg/fclf_last.pt,eval/param_search/runs/no_vf_reg,eval/param_search/runs/no_vf_reg/flow_losses.csv
lc_0.1,lc_0.1,loss_weights,λ_con = 0.1 (very weak),1.0,1.0,1.0,256,0.0001,0.1,50,0.1,0.1,0.3,0.01,0.01,10,eval/param_search/runs/lc_0.1/fclf_last.pt,eval/param_search/runs/lc_0.1,eval/param_search/runs/lc_0.1/flow_losses.csv
lc_0.3,lc_0.3,loss_weights,λ_con = 0.3 (weak),1.0,1.0,1.0,256,0.0001,0.1,50,0.1,0.3,0.3,0.01,0.01,10,eval/param_search/runs/lc_0.3/fclf_last.pt,eval/param_search/runs/lc_0.3,eval/param_search/runs/lc_0.3/flow_losses.csv
